statefip,year,race,bmprison,wmprison,bmpop,wmpop,error,crack,alcohol,income,ur,poverty,black,perc1519,aidscapita,state,parole,probation,capacity_rated,capacity_operational,capacity_design,bmprate,wmprate
2.0,1995.0,1.0,440.0,1630.0,12445,244063,0.0,1.888664,2.86,25504,7.0916667,7.1,5.0708356,7.267228,4.798052,Alaska,459.0,3481,2603.0,,,3535.5564,667.86035
2.0,1996.0,1.0,486.0,1651.0,12226,244515,0.0,2.147274,2.63,25805,7.4583335,8.2,4.9712353,7.4640675,4.4366374,Alaska,642.0,3999,2603.0,,,3975.135,675.2142
2.0,1997.0,1.0,538.0,1743.0,12403,245058,0.0,1.042536,2.56,26759,7.05,8.8,5.138917,7.6646743,2.2839692,Alaska,472.0,4212,2603.0,2603.0,2603.0,4337.66,711.2602
2.0,1998.0,1.0,509.0,1732.0,12525,246169,0.0,-0.5315719,2.74,27560,6.116667,9.4,5.276637,7.881187,0.96784806,Alaska,478.0,4274,2603.0,2691.0,2603.0,4063.8723,703.58167
2.0,1999.0,2.0,467.0,1698.0,12698,247685,0.0,3.174866,2.82,28100,6.1583333,7.6,5.3234706,7.9599347,2.2407923,Alaska,498.0,4547,2603.0,2691.0,2603.0,3677.7446,685.54816
2.0,2000.0,1.0,474.0,1764.0,11522,227328,0.0,2.123269,2.63,29867,6.175,7.6,5.3758383,8.118713,1.115186,Alaska,525.0,4779,2603.0,2691.0,2603.0,4113.869,775.9713
4.0,1985.0,2.0,1297.0,6499.0,49618,1412552,0.0,0.563288,3.12,13769,6.3333335,10.7,3.5100439,7.7164164,1.3503745,Arizona,1717.0,18068,6595.0,8452.0,,2613.9707,460.08926
4.0,1986.0,1.0,1452.0,7148.0,52016,1467119,0.0,1.376415,3.14,14427,6.8583336,14.3,3.503285,7.6993732,2.9619017,Arizona,2034.0,20283,,9911.0,,2791.4487,487.21338
4.0,1987.0,2.0,1675.0,8260.0,54649,1522856,0.0,1.091899,2.99,14985,6.45,12.8,3.4939847,7.6082,4.0726786,Arizona,2224.0,23158,,10958.0,,3065.015,542.4019
4.0,1988.0,2.0,1775.0,9199.0,56764,1564665,0.0,2.088886,2.94,15627,6.3333335,14.1,3.4867585,7.485192,5.9111333,Arizona,1669.0,25446,,12240.0,12240.0,3126.982,587.9214
4.0,1989.0,2.0,2033.0,10036.0,58755,1601313,0.0,1.663289,2.89,16403,5.266667,14.1,3.4798274,7.304398,6.819109,Arizona,2048.0,27340,,13304.0,,3460.131,626.73566
4.0,1990.0,2.0,2283.0,10702.0,60199,1623649,0.0,0.554759,2.77,17005,5.275,13.7,3.8698525,7.1105075,8.143108,Arizona,2711.0,30397,,13884.0,,3792.4219,659.1326
4.0,1991.0,2.0,2432.0,11569.0,62770,1656907,0.0,1.295416,2.71,17260,5.7333336,14.8,3.9716406,6.7880387,8.631211,Arizona,2900.0,31972,,14994.0,,3874.4624,698.2287
4.0,1992.0,2.0,2654.0,12144.0,65182,1701557,0.0,1.296788,2.69,17777,7.3916664,15.8,4.031487,6.678227,11.313315,Arizona,3588.0,34647,,15520.0,,4071.6763,713.6993
4.0,1993.0,2.0,2865.0,13164.0,67667,1755789,0.0,0.6118448,2.62,18293,6.383333,15.4,4.069799,6.6825485,12.224999,Arizona,4017.0,35534,,16089.0,,4233.969,749.7484
4.0,1994.0,2.0,3085.0,14503.0,71775,1823889,0.0,0.4494802,2.5,19212,6.133333,15.9,4.1674285,6.7246175,11.990326,Arizona,4351.0,34365,,19651.0,,4298.154,795.169
4.0,1995.0,2.0,3142.0,15793.0,75939,1893058,0.0,0.4265882,2.44,19929,5.35,16.1,4.2598,6.8330526,12.272986,Arizona,4109.0,40614,,18486.0,,4137.5312,834.25867
4.0,1996.0,2.0,3172.0,16682.0,79642,1947032,0.0,1.013009,2.58,20823,5.55,20.5,4.356447,6.9587784,8.742211,Arizona,3785.0,40607,,20270.0,,3982.8232,856.79126
4.0,1997.0,2.0,3255.0,17490.0,82885,2000437,0.0,1.006566,2.44,21861,4.5916667,17.2,4.4364505,7.039048,4.4754157,Arizona,3378.0,44813,,24137.0,21370.0,3927.128,874.30896
4.0,1998.0,2.0,3444.0,18752.0,86209,2051237,0.0,2.066896,2.44,23216,4.3416667,16.6,4.5358176,7.1380215,3.6860003,Arizona,3742.0,51329,,23036.0,23036.0,3994.9426,914.18005
4.0,1999.0,1.0,3539.0,10854.0,89427,2098789,0.0,2.252411,2.51,24057,4.508333,12.2,4.6258907,7.162593,3.5630236,Arizona,3715.0,56960,,24310.0,24310.0,3957.4177,517.1554
4.0,2000.0,2.0,3544.0,10893.0,83691,1919107,0.0,1.574964,2.5,25660,4.008333,11.7,4.745077,7.1785913,2.4771914,Arizona,3474.0,59810,,24947.0,24947.0,4234.625,567.6077
5.0,1985.0,1.0,2153.0,2241.0,175163,937140,0.0,0.148856,1.75,11260,8.516666,22.9,16.356998,8.16326,0.3436981,Arkansas,3891.0,9268,,4512.0,,1229.1409,239.13182
5.0,1986.0,1.0,2238.0,2237.0,174403,939329,0.0,0.2898038,1.63,11710,8.516666,21.3,16.32884,8.175586,1.0290227,Arkansas,4023.0,12700,,4620.0,,1283.2349,238.14873
5.0,1987.0,2.0,2536.0,2634.0,174385,943946,0.0,0.4497964,1.71,12085,8.15,21.8,16.290709,8.097042,1.6220635,Arkansas,3932.0,14609,,5400.0,,1454.2535,279.04138
5.0,1988.0,2.0,2646.0,2547.0,173972,943533,0.0,0.7471896,1.74,12901,7.675,21.6,16.260614,7.9778376,2.731493,Arkansas,3840.0,15931,,5530.0,,1520.9344,269.94287
5.0,1989.0,1.0,3126.0,2877.0,174003,944885,0.0,1.423954,1.78,13781,7.008333,18.3,16.232267,7.7865868,3.6651986,Arkansas,3657.0,15552,,5790.0,,1796.5208,304.4815
5.0,1990.0,2.0,3648.5,3396.0,174238,948187,1.0,0.7592691,1.86,14460,6.75,19.6,16.173077,7.611859,3.18257,Arkansas,3971.0,15983,,6535.0,,2093.9749,358.1572
5.0,1991.0,1.0,4171.0,3134.0,175808,954829,0.0,0.8980427,1.81,15124,7.2083335,17.3,16.21316,7.460355,4.6157513,Arkansas,3460.0,12858,,7335.0,,2372.4746,328.22632
5.0,1992.0,2.0,4449.0,3344.0,178282,963524,0.0,1.049516,1.9,16209,7.125,17.5,16.28474,7.4477315,4.6357923,Arkansas,3460.0,16448,,7614.0,,2495.4846,347.05933
5.0,1993.0,1.0,4642.0,3444.0,180986,974800,0.0,1.186286,1.79,16619,6.133333,20.0,16.338202,7.452053,5.8624687,Arkansas,4036.0,16928,,8014.0,,2564.8394,353.30325
5.0,1994.0,2.0,4612.0,3421.0,182392,986274,0.0,1.238474,1.65,17350,5.35,15.3,16.312723,7.4889965,7.3776503,Arkansas,5224.0,19606,8044.0,8044.0,8044.0,2528.6196,346.86102
5.0,1995.0,1.0,4841.0,3994.0,184499,998378,0.0,0.8538725,1.7,18076,4.7916665,14.9,16.341269,7.5677633,7.3361235,Arkansas,4685.0,22397,8060.0,8060.0,8060.0,2623.8625,400.0489
5.0,1996.0,2.0,4873.0,3898.0,187109,1007961,0.0,0.8603522,1.75,18926,5.15,17.2,16.44394,7.6459045,5.9095473,Arkansas,5459.0,25178,8160.0,8160.0,8160.0,2604.3643,386.7213
5.0,1997.0,2.0,5222.0,4160.0,188307,1015160,0.0,0.9932896,1.71,19590,5.0916667,19.7,16.501972,7.638605,2.8834066,Arkansas,5719.0,28294,8760.0,8760.0,8760.0,2773.131,409.78763
5.0,1998.0,1.0,5421.0,4452.0,189224,1021582,0.0,1.012866,1.73,20489,5.016667,14.7,16.577486,7.6328235,2.4368987,Arkansas,6979.0,28698,10208.0,10208.0,10208.0,2864.8586,435.79468
5.0,1999.0,2.0,4839.0,4885.5,191259,1026077,0.0,0.886052,1.75,21137,4.4416666,14.7,16.623539,7.546477,2.3002722,Arkansas,7752.0,28505,10426.0,10426.0,10426.0,2530.077,476.13385
5.0,2000.0,1.0,5772.0,5319.0,197275,1047173,0.0,0.684843,1.74,21925,4.2083335,16.5,16.631834,7.399349,1.7172714,Arkansas,8659.0,28409,10576.0,10576.0,10576.0,2925.865,507.939
6.0,1985.0,1.0,16138.0,29173.0,1006144,10984481,0.0,0.9144871,3.12,16956,7.2083335,13.6,10.874739,7.5497737,5.6640778,California,30127.0,210449,29702.0,45237.0,29702.0,1603.9453,265.58377
6.0,1986.0,1.0,19549.0,34038.0,1031588,11226923,0.0,1.374762,3.11,17668,6.758333,12.7,10.868618,7.532254,9.983185,California,33172.0,218526,32853.0,53887.0,32853.0,1895.0396,303.18192
6.0,1987.0,1.0,22184.0,37923.0,1058006,11472884,0.0,1.615281,3.03,18549,5.8416667,12.3,10.856063,7.443257,11.518715,California,41333.0,239985,,67424.0,41094.0,2096.7744,330.54462
6.0,1988.0,2.0,26438.0,41741.0,1085339,11719027,0.0,1.918534,2.9,19599,5.3,13.2,10.849557,7.3218203,13.822357,California,49364.0,265580,46279.0,70706.0,46279.0,2435.921,356.18146
6.0,1989.0,1.0,30066.0,47496.0,1115120,11992364,0.0,2.060436,2.79,20585,5.15,12.9,10.843377,7.142572,18.337824,California,57515.0,284437,48311.0,82115.0,48311.0,2696.2122,396.05203
6.0,1990.0,2.0,32190.0,54409.0,1151823,12224777,0.0,1.367013,2.78,21638,5.7666664,13.9,11.1023655,6.9386067,20.337444,California,67562.0,305700,,,52698.0,2794.7002,445.0715
6.0,1991.0,2.0,32981.0,57880.0,1170306,12368809,0.0,1.2324,2.46,21750,7.766667,15.7,11.268958,6.6050425,22.408386,California,78724.0,309077,,,55692.0,2818.1519,467.9513
6.0,1992.0,2.0,34279.0,63015.0,1182709,12514729,0.0,1.575896,2.54,22492,9.375,16.4,11.423231,6.474586,23.793642,California,87725.0,300635,,,57367.0,2898.3462,503.52667
6.0,1993.0,1.0,36461.0,71139.0,1187550,12577179,0.0,1.413071,2.35,22635,9.541667,18.2,11.583383,6.4243665,24.629953,California,80845.0,302645,,,63293.0,3070.2708,565.6197
6.0,1994.0,2.0,37472.0,74992.0,1185695,12604411,0.0,1.450593,2.24,23203,8.633333,17.9,11.737287,6.484391,25.688883,California,85082.0,277655,,,68366.0,3160.3406,594.9663
6.0,1995.0,2.0,39399.0,,1186676,12639706,1.0,0.9436879,2.23,24161,7.875,16.7,11.88276,6.599112,24.185574,California,91807.0,280545,,,71641.0,3320.1143,
6.0,1996.0,1.0,42300.0,,1193710,12726898,1.0,1.104322,2.24,25312,7.3416667,16.9,12.028435,6.7712865,16.1811,California,99578.0,286526,,,72621.0,3543.5742,
6.0,1997.0,1.0,44682.0,,1205860,12873778,1.0,0.8652981,2.24,26490,6.4166665,16.6,12.139122,6.9181747,8.009602,California,104412.0,304531,,,76352.0,3705.4053,
6.0,1998.0,1.0,46235.0,,1218231,13052211,1.0,0.939545,2.17,28374,5.9666667,15.4,12.244769,7.0743175,6.744943,California,108424.0,324427,,,79875.0,3795.2573,
6.0,1999.0,1.0,46578.0,,1235936,13240243,1.0,0.9050352,2.18,29828,5.25,14.0,12.362754,7.173654,6.194177,California,114046.0,332414,,154467.0,80272.0,3768.6418,
6.0,2000.0,2.0,46243.0,,1111029,10019019,1.0,0.8286766,2.19,32463,4.9333334,12.7,12.446319,7.2266006,5.195473,California,117647.0,343145,,154697.0,80467.0,4162.1777,
8.0,1985.0,1.0,665.0,2534.0,64277,1490871,0.0,-0.0868721,3.15,15438,6.008333,10.2,4.510971,7.648518,1.7759427,Colorado,2003.0,17612,3381.0,3381.0,,1034.5847,169.96776
8.0,1986.0,1.0,786.0,2796.0,65846,1501933,0.0,0.2480102,2.87,15786,7.516667,13.5,4.494842,7.5978446,3.489925,Colorado,1827.0,16335,3760.0,3760.0,,1193.6943,186.1601
8.0,1987.0,1.0,959.0,3465.0,67237,1510315,0.0,0.3060415,2.8,16275,7.4666667,12.5,4.4746203,7.459378,4.691857,Colorado,1680.0,22981,4597.0,,3560.0,1426.298,229.42233
8.0,1988.0,2.0,1229.0,4138.0,67815,1508694,0.0,1.713306,2.72,17130,6.4083333,12.5,4.4571905,7.2835016,5.670003,Colorado,1743.0,23230,4985.0,5058.0,3538.0,1812.2834,274.27695
8.0,1989.0,1.0,1492.0,4779.0,68726,1511709,0.0,0.9233434,2.6,18515,5.616667,12.1,4.4402037,7.0475955,7.295774,Colorado,1974.0,28037,4299.0,5590.0,3538.0,2170.9397,316.13226
8.0,1990.0,1.0,1525.0,4807.0,69915,1521414,0.0,0.132786,2.39,19575,5.1416664,13.7,4.6158686,6.8282976,9.704869,Colorado,2396.0,31111,,6120.0,4605.0,2181.22,315.9561
8.0,1991.0,2.0,1801.0,5699.0,72408,1549561,0.0,0.8564262,2.61,20160,5.45,10.4,4.6926584,6.5622435,11.898017,Colorado,2306.0,32430,,7416.0,6239.0,2487.2942,367.7816
8.0,1992.0,2.0,1912.0,6012.0,74685,1591409,0.0,1.010245,2.52,21109,6.008333,10.8,4.740485,6.49731,11.842312,Colorado,2634.0,33700,,7496.0,6136.0,2560.0857,377.77844
8.0,1993.0,1.0,2152.0,6469.0,77257,1636604,0.0,0.8743846,2.63,22054,5.2999997,9.9,4.7829986,6.511575,12.175772,Colorado,2731.0,35111,,7880.0,6612.0,2785.508,395.2697
8.0,1994.0,1.0,2364.0,7052.0,79433,1677673,0.0,1.5096,2.55,23004,4.2916665,9.0,4.802063,6.59213,12.700824,Colorado,2463.0,39065,,8051.0,6848.0,2976.093,420.34412
8.0,1995.0,1.0,2496.0,7451.0,81056,1715364,0.0,1.29273,2.47,24226,4.016667,8.8,4.797534,6.713543,13.562766,Colorado,3024.0,42687,,8543.0,7050.0,3079.3525,434.36844
8.0,1996.0,1.0,2747.0,8137.0,82560,1748645,0.0,1.747329,2.57,25570,4.2166667,10.6,4.822409,6.8491817,7.576585,Colorado,3294.0,42688,,8605.0,7104.0,3327.277,465.33173
8.0,1997.0,1.0,3030.0,8978.0,84503,1783451,0.0,0.8172846,2.48,26846,3.4,8.2,4.862424,6.985628,3.9569042,Colorado,4139.0,45499,,9046.0,7643.0,3585.6716,503.40604
8.0,1998.0,1.0,3059.0,9770.0,87364,1818107,0.0,1.765657,2.53,28784,3.5166667,9.2,4.9495363,7.115975,3.0607493,Colorado,5204.0,45502,,9842.0,8037.0,3501.4421,537.37213
8.0,1999.0,1.0,3310.0,10725.0,89619,1855963,0.0,2.191677,2.45,30492,3.0416667,8.5,5.0094194,7.1548443,2.7922266,Colorado,5263.0,48733,,11230.0,9424.0,3693.4133,577.8671
8.0,2000.0,2.0,3586.0,,86508,1784513,1.0,1.703143,2.6,33371,2.7416668,9.8,5.1044645,7.154202,2.3574233,Colorado,5500.0,50460,,12826.0,11607.0,4145.2812,
9.0,1985.0,2.0,2620.0,2094.0,118553,1405930,0.0,0.8770801,2.84,18731,4.5916667,7.6,9.060162,7.510393,2.6859195,Connecticut,695.0,36805,6072.0,4968.0,3781.0,2209.982,148.94055
9.0,1986.0,2.0,2890.0,2246.0,121773,1413869,0.0,1.217785,2.79,20024,3.7833333,6.0,9.035372,7.4125137,4.5283546,Connecticut,603.0,41304,6072.0,4968.0,3781.0,2373.2683,158.85489
9.0,1987.0,1.0,3070.0,2305.0,125100,1420928,0.0,1.906172,2.79,21741,3.2083333,6.6,9.009533,7.227246,6.0349956,Connecticut,466.0,43659,6072.0,4968.0,3781.0,2454.0369,162.21793
9.0,1988.0,1.0,3541.0,2204.0,128791,1428658,0.0,2.739985,2.71,23784,2.8583333,4.0,8.988366,7.004845,7.395105,Connecticut,371.0,46086,7731.0,7153.0,,2749.4158,154.27065
9.0,1989.0,1.0,4172.0,2447.0,131907,1430059,0.0,2.791543,2.54,25684,3.625,2.9,8.9670725,6.723725,9.50225,Connecticut,322.0,42842,7929.0,8722.0,,3162.8345,171.11182
9.0,1990.0,2.0,4818.0,2586.0,134570,1429381,0.0,2.812746,2.46,26504,4.925,6.0,8.7048435,6.4157996,10.115533,Connecticut,291.0,46640,9159.0,10075.0,,3580.2927,180.91748
9.0,1991.0,2.0,4856.0,2813.0,136898,1424212,0.0,2.049863,2.29,26512,6.5416665,8.6,8.951908,6.065043,12.2619705,Connecticut,509.0,47523,9935.0,10928.0,,3547.1665,197.51273
9.0,1992.0,1.0,4897.0,2969.0,137181,1414678,0.0,3.201414,2.3,28362,7.2916665,9.8,9.121269,5.9105124,16.390404,Connecticut,483.0,48567,10093.0,11102.0,,3569.7363,209.87108
9.0,1993.0,1.0,5873.0,3323.0,138655,1410685,0.0,4.157567,2.2,28975,6.3583336,8.5,9.339019,5.863697,19.370386,Connecticut,1000.0,50904,12133.0,13347.0,,4235.693,235.55933
9.0,1994.0,2.0,6175.0,3467.0,139314,1406692,0.0,4.011858,2.2,29693,5.475,10.8,9.478453,5.902408,20.837599,Connecticut,1146.0,53453,13363.0,14699.0,,4432.433,246.46475
9.0,1995.0,2.0,6406.0,3538.0,139501,1403914,0.0,3.624947,2.22,31045,5.266667,9.7,9.624425,5.9643626,22.98336,Connecticut,1233.0,54507,,,,4592.0815,252.00974
9.0,1996.0,2.0,6396.0,3635.0,140439,1403044,0.0,5.369555,2.13,32424,5.3166666,11.7,9.783073,6.0414753,16.213697,Connecticut,1083.0,55978,,,,4554.2905,259.07956
9.0,1997.0,1.0,7456.0,4138.0,141794,1402137,0.0,3.724335,2.17,34375,4.8333335,8.6,9.958548,6.127133,8.270267,Connecticut,996.0,55989,,,,5258.3325,295.12094
9.0,1998.0,1.0,7675.0,4245.0,144170,1401669,0.0,4.198919,2.18,36822,3.2666667,9.5,10.192262,6.2368217,7.9932203,Connecticut,1396.0,55000,,,,5323.576,302.85324
9.0,1999.0,2.0,8042.0,4550.0,146795,1401212,0.0,4.808353,2.18,38332,2.65,7.2,10.3954935,6.294647,6.644222,Connecticut,1526.0,55070,,,,5478.388,324.71887
9.0,2000.0,1.0,7882.0,4524.0,147131,1345511,0.0,2.371063,2.18,41489,2.2583332,7.7,10.566577,6.4164076,6.5944576,Connecticut,1868.0,47636,,,,5357.131,336.22913
10.0,1985.0,2.0,1356.0,1063.0,48175,246754,0.0,0.1111244,3.16,15987,5.1083336,11.4,17.703888,8.069602,1.1318948,Delaware,864.0,7139,,2207.0,2217.0,2814.738,430.79343
10.0,1986.0,1.0,1545.0,1117.0,49104,250187,0.0,0.7289889,3.13,16706,3.9,12.4,17.66928,7.9537377,3.8238358,Delaware,978.0,7985,,2563.0,2404.0,3146.3833,446.46603
10.0,1987.0,2.0,1595.0,1173.0,50130,253723,0.0,1.934467,3.08,17730,3.0916667,6.6,17.634352,7.754289,4.709273,Delaware,1100.0,9398,,2763.0,2604.0,3181.7275,462.31522
10.0,1988.0,2.0,1823.0,1193.0,51359,257433,0.0,2.958124,3.03,19006,2.9166667,8.6,17.606497,7.5204988,5.0947704,Delaware,1093.0,9576,2090.0,2880.0,2090.0,3549.524,463.42154
10.0,1989.0,2.0,2045.0,1141.0,52644,261239,0.0,2.824571,2.91,20743,3.1083333,10.0,17.580656,7.224825,7.2918186,Delaware,1013.0,9701,2915.0,3138.0,2015.0,3884.5833,436.7648
10.0,1990.0,1.0,2102.0,1079.0,54023,264926,0.0,2.459503,2.95,21422,4.1583333,6.9,17.415047,6.884897,10.603868,Delaware,1283.0,12223,2915.0,3138.0,2015.0,3890.9353,407.28354
10.0,1991.0,1.0,2287.0,1101.0,55860,268546,0.0,3.63814,2.7,22090,5.7333336,7.5,17.765415,6.398372,10.833284,Delaware,991.0,13243,2915.0,3138.0,2015.0,4094.164,409.98563
10.0,1992.0,1.0,2476.0,1205.0,57658,271248,0.0,3.198467,2.73,22670,5.4,7.8,18.07557,6.220959,13.094938,Delaware,1120.0,14887,4009.0,3987.0,2928.0,4294.287,444.24292
10.0,1993.0,2.0,2606.0,1264.0,59334,274250,0.0,2.953985,2.76,22967,4.983333,10.2,18.3874,6.257839,19.253147,Delaware,914.0,15571,,4206.0,3192.0,4392.0854,460.89334
10.0,1994.0,2.0,2797.0,1308.0,61051,276688,0.0,4.772206,2.76,23530,4.575,8.3,18.745676,6.4064274,25.364264,Delaware,1029.0,15507,,4206.0,3192.0,4581.4155,472.73462
10.0,1995.0,1.0,2929.0,1431.0,62908,279295,0.0,3.909029,2.62,24407,4.3916664,10.3,19.138985,6.5623913,25.214666,Delaware,1033.0,16124,,4206.0,3192.0,4656.0054,512.3615
10.0,1996.0,1.0,3060.0,1586.0,64697,281239,0.0,3.331336,2.78,25727,4.241667,8.6,19.503323,6.7267947,21.863028,Delaware,591.0,16528,,4206.0,3192.0,4729.74,563.93317
10.0,1997.0,2.0,3237.0,1806.0,66503,283020,0.0,4.707807,2.81,26475,3.9,9.6,19.947557,6.873572,11.310907,Delaware,591.0,18837,,4206.0,3192.0,4867.4497,638.11743
10.0,1998.0,2.0,3260.0,1850.0,68379,284898,0.0,4.146467,2.82,28252,3.5166667,10.3,20.34408,6.999024,10.087315,Delaware,572.0,20030,,4206.0,3912.0,4767.5454,649.3552
10.0,1999.0,1.0,4070.0,2294.0,70994,286566,0.0,2.953159,2.9,28925,3.3333333,10.4,20.73824,7.07493,9.806578,Delaware,634.0,20976,,4206.0,3912.0,5732.879,800.5137
10.0,2000.0,1.0,3965.0,2355.0,71469,284586,0.0,1.800673,2.89,30869,3.3,8.4,21.016884,7.006886,12.58722,Delaware,579.0,20052,,4206.0,3192.0,5547.86,827.5179
11.0,1985.0,1.0,6021.0,155.0,196956,92296,0.0,0.4432266,4.94,18148,8.041667,20.4,71.346375,7.6838846,21.427277,District of Columbia,3504.0,11777,5711.0,6193.0,,3057.028,167.93794
11.0,1986.0,1.0,6241.0,128.0,196978,94426,0.0,0.8196981,4.75,19013,7.2833333,12.8,71.29006,7.6140766,33.6809,District of Columbia,2980.0,12307,6769.0,6577.0,,3168.374,135.55588
11.0,1987.0,1.0,7126.0,169.0,195462,95469,0.0,1.214553,4.85,20141,6.175,14.9,71.25234,7.5035086,40.657936,District of Columbia,3659.0,13750,7032.0,7341.0,,3645.7214,177.02081
